ID;Fonte;Icona;Anno;Stagione;Titolo;Sottotitolo;Lat;Lon;Testo
12;ISPRA;sabbia;2020;Primavera;Trasporto di sabbia;28 - 29 marzo;44.7659495881605;10.7276853236622;Registrati valori estremamente elevati di PM10, con concentrazioni fino a 140 microg/m3 in Romagna e sul crinale appenninico, mai rilevati prima in queste stazioni in quota. Probabile causa dell’evento la formazione di una tempesta di polveri nella zona del lago di Aral, con successivo trasporto verso il bacino padano.
13;ISPRA;pioggia;2020;Primavera;Pioggia;30 - 31 marzo ;38.70648133837701;16.1909227659647;Piogge intense sui versanti centro-meridionali della Calabria, con totali di evento localmente superiori a 100 mm e un massimo di 151.8 mm in 24 ore a Maierato (VV).
14;ISPRA;secco;2020;Primavera;Siccita';Gennaio - maggio ;44.668750973608;11.6197713870868;Prolungato periodo di siccita' in Emilia Romagna. Le precipitazioni cumulate da gennaio a maggio sono state le piu' basse mai registrate per questo periodo dal 1961.
15;ISPRA;termorosso;2020;Primavera;Onda di calore ;13 - 16 maggio;38.1809149582832;13.1114434057757;Intensa avvezione calda sul settore tirrenico della Sicilia. Il 13 maggio la stazione dell’Osservatorio Astronomico di Palermo ha registrato 39.4°C, record assoluto di temperatura per il mese di maggio. In diverse localita' della fascia costiera sono stati superati i 40°C, con il massimo di 40.3°C registrato il 14 maggio a Patti (ME).
16;ISPRA;sabbia;2020;Primavera;Trasporto di sabbia; 09 - 20 maggio;41.0383752400979;15.4209137859931;In Campania, insolito evento di trasporto di polvere dal deserto del Sahara per piu' di 10 giorni consecutivi.
17;ISPRA;pioggia;2020;Primavera;Pioggia;19.20 maggio;43.627052921559645 ;12.562208216013719;Eventi temporaleschi intensi con abbondanti grandinate nella zona di San Vicino e Urbania, che hanno determinato locali situazioni di criticita' e causato danni alle colture agricole.
18;ISPRA;Pioggia;2020;Estate;Pioggia;7 - 8 giugno;42.65444732689603;12.426625794073448;Intensi temporali in Umbria, con valori massimi di precipitazione cumulata registrati nella stazione di Avigliano Umbro (TR): 78.0 mm in un'ora, 149.6 mm in 3 ore, 188.0 mm in 6 ore e 196.0 mm in 12 ore. Tempi di ritorno stimato per le intensita' su 3, 6 e 12 ore superiori a 200 anni. Eventi di piena sul reticolo secondario con allagamenti diffusi in zone industriali e problemi alla viabilita' locale. 
19;ISPRA;Pioggia;2020;Estate;Temporali;9 - 18 giugno;45.100644436990784;7.762341330094812;Intensi temporali nell’area metropolitana di Torino, con precipitazioni totali massime di circa 225 mm complessivi nelle giornate del 9, 15 e 18 giugno, e intensita' di pioggia di 73.3 mm in un'ora registrata presso la stazione di Venaria La Mandria (TO), con tempo di ritorno stimato superiore a 50 anni.
20;ISPRA;Alluvione;2020;Estate;Alluvione;15 luglio;38.1306669208359;13.3529109263057;Piogge abbondanti e persistenti, in particolare sulla Sicilia orientale. Stazione di Palermo Uditore: registrati 87.8 mm in 1 ora e 134 mm in meno di 3 ore, intensita’ mai rilevate da inizio misurazioni. Allagamento quasi totale del reticolo viario, autovetture rimaste intrappolate e sommerse nei sottopassi.
21;ISPRA;pioggia;2020;Estate;Pioggia;19 luglio;37.261066095487955;14.45989828054055;Piogge intense hanno causato allagamenti ed esondazioni. Nubifragi a Vizzini (CT) con intensita' di 74 mm in un'ora, e a Mazzarino (CL) con intensita' di 75.4 mm in un'ora.
22;ISPRA;pioggia;2020;Estate;Temporale;24 luglio;45.5419330030562;9.20894675680414;Rovesci e temporali diffusi sul milanese, con locali grandinate. Massima intensita' di pioggia di 73.6 mm in 1 ora a Cinisello Balsamo (MI). Esondazione del fiume Seveso nel tratto urbano milanese. Tempo di ritorno per l’evento stimato in circa 150 anni.
23;ISPRA;pioggia;2020;Estate;Temporali e vento;1 - 2 agosto;44.9109326900157;8.61298220593357;Eventi temporaleschi accompagnati da forti raffiche di vento. Il primo di agosto ad Alessandria Lobbi (AL) rilevate raffiche di oltre 100 km/h, valore massimo della serie storica dal 1988 per il periodo primavera - estate. Il giorno 2 ad Asti registrata un’intensita' di precipitazione di 58.4 mm in un’ora, con tempo di ritorno stimato superiore a 50 anni.
24;ISPRA;pioggia;2020;Estate;Temporali;8 agosto;38.09892031709939;15.210550928952422;Precipitazioni consistenti in alcune aree della Sicilia. A Castroreale (ME) il totale di evento ha raggiunto 153.0 mm in 24 ore, con intensita' massime di 126.0 mm in un'ora e mezza e 73.4 mm in un'ora. Danni nelle localita' interessate, incluse frane e fenomeni di trasporto detritico, allagamenti e danni ad auto e proprieta'.
25;ISPRA;pioggia;2020;Estate;Temporali e vento;14 agosto;46.13942504785894;12.320576885597834;In Veneto, temporali intensi, persistenti, con forti rovesci, grandinate e forti raffiche di vento. Registrati accumuli fino a 139 mm a Col Indes di Tambre (BL) e raffiche fino a 248 km/h a Belluno Aereoporto.
26;ISPRA;pioggia ;2020;Estate;Temporali;17 agosto;45.7779619525026;12.126894645053689;In Veneto, numerosi rovesci hanno interessato molte localita' anche di pianura. Intensita' massima a Volpago del Montello (TV): quasi 14 mm in 5 minuti, 24 mm in 10 minuti e 34 mm in 15 minuti. 
27;ISPRA;pioggia;2020;Estate;Temporali;17 agosto;45.0737097991922;7.67148453398122;Violenti temporali hanno investito Torino: registrati 75.2 mm nella stazione di Torino in Via della Consolata, valore inferiore solo agli 83.4 mm dell’11 agosto 2010. 
28;ISPRA;pioggia ;2020;Estate;Temporali e vento;22 – 23 agosto;45.72541513277464;11.382613068983733;Temporali accompagnati da raffiche intense hanno colpito il Veneto. Valori massimi di precipitazione a Malo (VC) pari a 57.6 mm in 30 minuti, e a Monte Summano (VC) pari a 69.2 mm in 45 minuti e 75 mm in un'ora.
29;ISPRA;pioggia ;2020;Estate;Pioggia e vento;28 - 29 agosto;46.18840813915091;9.372271916577597;Precipitazioni diffuse e intense a carattere temporalesco, con grandine di medie e grandi dimensioni, vento forte su gran parte della Lombardia. Raggiunti accumuli massimi di 290.8 mm in 48 ore, di cui 271.6 mm in 24 ore a Montemezzo-Gera Lario (CO). 
30;ISPRA;pioggia ;2020;Estate;Temporali e vento;29 - 30 agosto;45.78540558024452;11.576347049178544;In Veneto, temporali molto intensi con grandine, forti raffiche di vento e trombe d’aria, hanno interessato in particolare le provincie di Verona e Vicenza. Cumulata massima di precipitazione totale sull'evento pari a 191.6 mm in 48 ore a Lusiana (VC), seguita da 183.4 mm in 48 ore a Malo (VC). I princiapli danni causati sono stati colate detritiche, smottamenti, frane, danni ad alberi, proprieta' ed infrastrutture.
31;ISPRA;pioggia;2020;Estate;Temporali e vento;29 - 30 agosto;46.0048964276765;11.152282657578963;Temporali con raffiche di forte intensita' hanno colpito la provincia di Trento, causando ingenti danni all’agricoltura.
32;ISPRA;pioggia;2022;Estate;Pioggia e vento;28 - 30 agosto;46.42853407347485;13.267905898168747;In Friuli Venezia Giulia le cumulate totali di precipitazione dal 28 al 30 agosto hanno raggiunto massimi oltre i 400 mm sulla Carnia centro-orientale, il Canal del Ferro e Pontebba. In sole 36 ore registrati fino a 319 mm a Pontebba (UD). Forti raffiche di vento in molte localita', fino a 140 km/h sulle Prealpi e fino a 120 km/h su pianura e costa, hanno provocato la caduta di numerosi alberi.
33;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;14 settembre;37.41094985163176;15.018440600007587;Nubifragi nell’area a sud di Catania e nell’entroterra della Sicilia, con il massimo accumulo regitrato a Catania S. Francesco La Rena pari a 122.6 mm e intensita' massima oraria di 73 mm.
34;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;20 - 22 settembre;44.696746326918685;7.44194777696826;Una serie di intensi impulsi temporaleschi ha riversato sul Piemonte notevoli quantitativi di precipitazione. In provincia di Cuneo accumuli superiori a 100 mm in due ore registrati nei comuni di Barge, Carde', Scarnafigi e Saluzzo, ed oltre 80 mm a Bibiana (TO).
35;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia e vento;25 - 28 settembre;41.0715135238781;14.5914460048524;Piogge intense e forti venti in Campania. Intensa mareggiata in Cilento con altezza d'onda massima di 10.8 m. Sulla fascia appenninica centrale della regione le precipitazioni hanno superato in molte stazioni i 150 mm con valore massimo di 259.8 mm a Montella Meteo (AV). Si sono verificati caduta di alberi, innalzamento dei livelli dei fiumi, fenomeni di dissesto idrogeologico. 
36;ISPRA;termoblu;2020;Autunno e dicembre;Anomalia negativa di temperatura;26 - 27 settembre;44.65537774241972 ;9.886433119015164;In Emilia-Romagna le temperature sono scese di oltre 9°C in 24 ore e sui crinali sono state registrate per la prima volta temperature inferiori a 0°C per il mese di settembre.
37;ISPRA;termoblu;2020;Autunno e dicembre;Anomalia negativa di temperatura;26 - 27 settembre;44.79086587944258;7.5518429713526904;Quasi la meta' delle stazioni termometriche della rete ARPA Piemonte ha stabilito il primato di temperatura minima per il mese di settembre.
38;ISPRA;termoblu;2020;Autunno e dicembre;Anomalia negativa di temperatura;27 settembre;43.4043983863792;11.3748407665241;In Toscana l' improvviso calo termico ha fatto registrare record negativi per le temperature massime di settembre nelle tre stazioni Firenze, Grosseto ed Arezzo, che hanno segnato rispettivamente valori pari a 16.0, 14.4 e 13.2°C.
39;ISPRA;Alluvione;2020;Autunno e dicembre;Alluvione;2 - 3 ottobre;45.6443453588711;8.38248588787689;In Piemonte, registrati valori eccezionali di precipitazione, con cumulate superiori a 500 mm in 24 ore in diverse stazioni, con il massimo di 619.6 mm registrato a Sambughetto (VB). Raggiunti 400 mm in 12 ore in quattro stazioni con il massimo di 517.6 mm Limone-Pancani (CN). Le precipitazioni, molto elevate anche a livello areale, soprattutto sui bacini di Sesia, Cervo e Toce, hanno generato onde di piena eccezionali sui corsi d’acqua del reticolo principale e secondario della regione.
40;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia e vento;2 - 3 ottobre;45.7424049188436;7.48775063119473;Precipitazioni intense con vento forte nel fondovalle in Valle d'Aosta, con oltre 330 mm in 48 ore registrati a Hone, di cui piu' di 245 mm il 2 ottobre. Dissesti idrogeologici e danni.
41;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia e vento;2 - 3 ottobre;46.0614613487072;9.552126142721615;Ingenti quantitativi di precipitazione in Lombardia. Valori massimi registrati a Gerola Alta Pescegallo(SO) pari a 395.2 mm in 36 ore, di cui 250.2 mm in 24 ore, e a Carona Lago Fregabolgia (BG) con 367.0 mm in 36 ore, di cui 208.6 mm in 24 ore. Vento significativo, con raffiche localmente superiori a 108 km/h, e fino a 152 km/h a Laveno Mombello-Poggio S.Elsa (VA). Si sono verificati ingenti accumuli di legname lungo la costa del Lago Maggiore.
42;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia e vento;2 - 3 ottobre;45.950535444938964;10.620773442843493;In provincia di Trento, precipitazioni cumulate totali superiori a 160 mm sulla parte alta del bacino del Sarca con un massimo di 222.6 mm a Daone-Malga Bissina. Le piogge intense hanno causato una piena e l’esondazione del fiume Sarca. Venti forti, con raffiche fino 133.56 km/h a Passo Manghen.
43;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;2 - 3 ottobre;44.467214247090325;9.625646557683659;Precipitazioni persistenti con ingenti accumuli sull'Appennino occidentale dell’Emilia Romagna. Valori massimi di evento pari a 228.8 mm a Tarsogno (PR). Fenomeni di piena impulsivi nei tratti montani di Trebbia, Aveto e Taro con conseguenti intensi fenomeni di erosione e trasporto solido, e il crollo di un ponte sul Trebbia, gia' in cattive condizioni.
44;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia e vento;2 - 3 ottobre;46.69165205783571;11.170315684966141;Piogge molto abbondanti in provincia di Bolzano, dalla Val d'Ultimo alla Val Passiria, con cumulate superiori a 200 mm. Venti intensi con raffiche fino a 147 km/h in alta quota sul monte Scabro. Numerosi smottamenti, frane e cadute di massi. Nelle aree occidentali dell'Alto Adige e nell'alta Val d'Isarco molti corsi d'acqua hanno ampiamente superato il livello d'allarme.
45;ISPRA;Alluvione;2020;Autunno e dicembre;Alluvione;2 - 3 ottobre;43.9245543594963;7.64563702738301;Piogge intense sulla Liguria, in particolare sull’estremo Ponente, Totali di precipitazione sull’evento ingenti, con il massimo di 430.6 mm a Triora (IM). Il livello idrometrico del fiume Roya ha raggiunto i massimi storici nelle sezioni di Airole e Torri. Si sono avuti esondazioni, frane, smottamenti, ingenti danni alle infrastrutture, crolli, strade e ponti danneggiati.
46;ISPRA;Mareggiata;2020;Autunno e dicembre;Mareggiata;2 - 3 ottobre;44.37983776213668;9.131600481676465;Venti con intensita' di burrasca forte e raffiche tra tempesta ed uragano hanno provocato mareggiate estese ed intense lungo tutti settori costieri liguri, in particolare a Levante. Danni su diversi settori economici.
47;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;16 - 17 novembre ;40.292546319209;15.574722369285;Forti temporali nel sud del Cilento, dove in poche ore sono caduti piu' di 100 mm, con punte di 219.3 mm in 12 ore a Roccagloriosa (SA) e 216.8 mm in 12 ore a Torre Orsaia Meteo (SA). Si sono registrati esondazioni di corsi d'acqua e numerosi fenomeni localizzati di dissesto idrogeologico. Allagamento di terreni agricoli e strade.
48;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;21 - 23 novembre ;39.087526074787206;17.13090505665848;Piogge molto intense e persistenti hanno colpito la Calabria, con cumulate di evento superiori a 300 mm e punte massime di 414.8 mm a Ciro' Marina - Punta Alice (KR). In varie stazioni registrati i valori massimi di precipitazioni sulle 24 ore da inizio misurazioni (1916). Eccezionali anche le intensita' pluviometriche su breve periodo: 123.8 mm in 3 ore, 186.0 mm in 5 ore e 205.2 mm in 12 ore a Crotone, tutte con tempi di ritorno stimate superiori a 300 anni.
49;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;27 - 29 novembre;40.4807760213263;9.3847790697449;In Sardegna, piogge abbondanti con cumulate sull’evento, durato 60 ore, superiori a 400 mm. Registrati a Oliena RU (NU) il massimo sull'evento, pari a 536.0 mm, e il massimo sulle 24 ore, pari a 472.8 mm, che rappresenta il massimo valore mai registrato a Oliena. A Bitti (NU), registrati 328.6 mm in 24 ore, massimo valore da inizio misurazioni, e massime cumulate su 3, 6 12 e 24 con tempi di ritorno superiori a 200 anni. Si sono verificati estesi danni alle infrastrutture e numerose inondazioni.
50;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia e vento;28 - 29 novembre;37.870764935102414;15.051781137612476;Maltempo con precipitazioni nei settori orientali della Sicilia, valori cumulati in 48 ore superiori ai 100 mm fino ad un massimo di 375.0 mm a Castiglione di Sicilia (CT). Venti forti ed una tromba d’aria a Catania il 28 novembre, con gravi danni nella zona meridionale della citta’, tra cui allagamenti, frane, danni a edifici e infrastrutture e crollo di molti alberi.
51;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;Dicembre;46.454894325984185;13.100056739142936;Precipitazioni cumulate mensili superiori anche del 500% rispetto alla media 1961-2010 in Friuli Venezia Giulia. A Tolmezzo (UD) misurati 749 mm, a Barcis (PN) raggiunti addirittura 973 mm.
52;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;Dicembre;43.06944312060442;11.259113490331105;Precipitazioni eccezionalmente abbondanti in Toscana, anomalie intorno a +140% rispetto alla media 1981-2010. Il dicembre piu' piovoso dal 1955 a Massa Carrara, Lucca e Livorno, dove e' piovuto quasi il quadruplo di quanto piove normalmente in questo mese.
53;ISPRA;neve;2020;Autunno e dicembre;Pioggia e neve;4 - 9 dicembre;46.2164849148193;12.0738011141354;Precipitazioni molto abbondanti e persistenti in Veneto sulle zone montane e pedemontane con cumulate sull'evento superiori a 500 mm e con punte fino a 725 mm a Seren di Grappa (BL), con accumuli di neve molto abbondanti soprattutto oltre i 1600 m di quota. Registrati 554 mm in 48 ore ad Alpago (BL) valore che si colloca al secondo posto della serie dopo l’alluvione del novembre 1966.
54;ISPRA;neve;2020;Autunno e dicembre;Pioggia e neve;4 - 6 dicembre;46.311815685644454;11.601798826032452;Ingenti quantita' di precipitazione in Trentino con il massimo di 554.2 mm a Val Noana. Nelle localita’ piu’ in quota, la precipitazione e’ caduta sotto forma nevosa e l’accumulo totale misurato ha superato ovunque di gran lunga il valore medio relativo all’intero mese di dicembre, risultando confrontabile con quello di un’intera stagione invernale. Inoltre, in diverse localita' tra cui Trento Laste, Lavarone, Male', Cavalese, Tione e Predazzo e' stata registrata la precipitazione cumulata gionaliera piu' alta di tutta la serie storica di dicembre.
55;ISPRA;Alluvione;2020;Autunno e dicembre;Alluvione;4 - 6 dicembre ;44.4790986888344;11.0013869788767;In Emilia-Romagna precipitazioni intense hanno provocato allagamenti e rotture di argini lungo il fiume Panaro. Numerosi i fenomeni di dissesto idrogeologico sull’Appennino, che hanno interessato le infrastrutture viarie principali e secondarie. 
56;ISPRA;pioggia;2020;Autunno e dicembre;Pioggia;Dicembre;44.6991513050459;10.2185870029937;In Emilia-Romagna registrato il dicembre piu' piovoso dal 1961.
57;ISPRA;Alluvione;2020;Autunno e dicembre;Alluvione;5 - 6 dicembre;38.0468086223286;15.0967879344603;Precipitazione cumulata in 48 ore superiore a 100 mm nelle aree nord-orientali della Sicilia, raggiungendo una punta massima di 409.0 mm a Novara di Sicilia (ME). Le precipitazioni hano causato esondazione di torrenti, smottamenti, frane, trasporto di detriti su strade e abitazioni, caduta d'alberi e danni agli edifici.
58;ISPRA;mareggiata;2020;Autunno e dicembre;Mareggiata;28 dicembre;40.8587794394128;14.2694404525589;Venti particolarmente intensi sul Tirreno hanno causato violente mareggiate sulla costa campana e ingenti danni sul lungomare della citta' di Napoli. Altezza d’onda massima pari a 10.05 m, rilevata dalla boa Cilento.
59;NOAA;termorosso;2020;;TEMPERATURA MEDIA GLOBALE;;84.5;-120;La temperatura media globale sulla terraferma e sugli oceani, nel 2020, ha raggiunto il secondo valore piu' alto dall’inizio delle osservazioni (1880).
60;NOAA;neve;2020;;ESTENSIONE DEI GHIACCI NEL MAR ARTICO;;84.5;30;Durante la stagione di espansione, l’Artico ha registrato l’11a piu' ridotta estensione massima annuale dei ghiacci marini. Durante la stagione del disgelo, ha registrato la 2a piu' ridotta estensione minima annuale.
61;NOAA;termorosso;2020;;ALASKA;;65;-150;L’anomalia di temperatura pari a 10.83 °C e' stata la minore dal 2012.
62;NOAA;termorosso;2020;;NORD AMERICA;;63;-125;Il 2020 in Nord America e' stato il 10° anno piu' caldo della serie. 
63;NOAA;termorosso;2020;;STATI UNITI D’AMERICA;;42;-120;Il 2020 per gli Stati Uniti contigui e' stato il 5° anno piu' caldo dall’inizio delle registrazioni iniziate nel 1895: il 16 agosto nella Death Valley in California e' stata osservata una temperatura massima di 54.4 °C, che se verificata, sarebbe la piu' alta di agosto e la terza piu' alta in assoluto di tutti gli USA. 
64;NOAA;vento;2020;;STAGIONE DEGLI URAGANI ATLANTICI;;35;-45;Attivita' sopra la media: 30 tempeste, 16 uragani. Nel 2020 e' stato registrato il maggior numero di cicloni tropicali a partire dal 1851. Il record precedente era di 28 nel 2005. 
65;NOAA;termorosso;2020;;EUROPA;;51;23;In Europa il 2020 e' stato l’anno piu’ caldo della serie, con un’anomalia annuale di temperatura per la prima volta superiore a 2.0 °C. Gli anni 2014-2020 sono stati i 7 anni piu’ caldi della serie. 
66;NOAA;termorosso;2020;;ASIA;;50;85;La temperatura nel 2020 ha raggiunto il valore piu' alto in una serie lunga 111 anni, con un’anomalia annuale di temperatura per la prima volta superiore a 2.0 °C. in Asia i 10 anni piu’ caldi sono stati registrati a partire dal 2002.
67;NOAA;vento;2020;;CICLONE AMPHAN;16 - 21 maggio 2020;22;90;Venti massimi: 270 km/h. Amphan ha portato venti molto forti e una pericolosa onda di tempesta sulle aree costiere del Bengala occidentale in India e del Bangladesh.
68;NOAA;termorosso;2020;;AFRICA;;13;20;L’Africa ha registrato il quarto anno piu' caldo della serie. 
69;NOAA;vento;2020;;STAGIONE DEI TIFONI NEL PACIFICO NORD-OCCIDENTALE;;35;160;Attivita' sotto la media: 23 tempeste, 12 tifoni.
70;NOAA;vento;2020;;STAGIONE DEI TIFONI NEL PACIFICO SUD-OCCIDENTALE;;-15;170;Attivita' sopra la media: 10 tempeste, 5 cicloni.
71;NOAA;vento;2020;;STAGIONE DEGLI URAGANI NEL PACIFICO NORD-ORIENTALE;;35;-140;Attivita' sotto la media: 16 tempeste, 4 uragani.
72;NOAA;vento;2020;;URAGANI ETA & IOTA;1 - 18 novembre 2020;13;-84;Venti massimi: 260 km/h. Entrambi gli uragani, di categoria 4, hanno raggiunto la terraferma in Nicaragua a meno di 25 km e a distanza di due settimane l’uno dall’altro.
73;NOAA;vento;2020;;STAGIONE DEI CICLONI NELL’OCEANO INDIANO SETTENTRIONALE;;2;75;Attivita' sopra la media: 5 tempeste, 4 cicloni.
74;NOAA;vento;2020;;STAGIONE DEI CICLONI NELL’OCEANO INDIANO MERIDIONALE;;-35;75;Attivita' nella media: 17 tempeste, 9 cicloni.
75;NOAA;vento;2020;;TYPHOON GONI;26 ottobre - 6 novembre 2020;14;110;Venti massimi: 315 km/h. Il tifone Goni e' stato uno dei cicloni piu’ potenti mai registrati.
76;NOAA;termorosso;2020;;SUD AMERICA ;;-15;-55;L’anomalia di temperatura e' la seconda piu' alta della serie lunga 111 anni. Solo il 2015 e' stato piu' caldo.
77;NOAA;termorosso;2020;;ARGENTINA;;-35;-65;Il 2020 e' stato il 2° anno piu' caldo mai registrato. I 5 anni piu’ caldi si sono verificati dal 2012 in poi.
78;NOAA;vento;2020;;CICLONI TROPICALI GLOBALI;;-40;-20;103 tempeste, 45 uragani. Il numero di tempeste nel 2020 ha raggiunto il record stabilito nel 2018.
79;NOAA;vento;2020;;CICLONE GATI;21 - 24 novembre 2020;8;50;Venti massimi: 185 km/h. Gati e' stato il ciclone piu' violento ad approdare in Somalia.
80;NOAA;termorosso;2020;;AUSTRALIA;;-24;130;Il 2020 e' stato il quarto anno piu' caldo registrato a partire dal 1910.
81;NOAA;neve;2020;;ESTENSIONE DEI GHIACCI NEL MAR ANTARTICO;;-65;90;Durante la stagione di espansione, l’Antartico ha registrato l’11° estensione massima annuale dei ghiacci marini. Nel corso della stagione del disgelo, ha registrato un’estensione minima annuale nella media.
